pi,Wt,D,pop
973.5075677390221,1093.3924355444037,-0.3733296627911797,CEu
926.416040600179,1047.8561023603081,-0.3952696102309843,CEu
551.3346872015151,704.7458131349954,-0.7396702930902345,CEu
525.0368451678071,552.9103330693256,-0.17124635340856345,CEu
821.3199566694448,854.4804249230269,-0.1318908851462533,CEu
782.6641965579136,863.647850134539,-0.318684568848017,CEu
714.7497100945884,816.8557839507791,-0.4248000548039731,CEu
672.1655183457173,643.0566809825283,0.15379574503908827,CEu
593.0588371557411,620.138117953748,-0.1483536964770154,CEu
660.1023556030119,785.3427597862062,-0.5419351336181658,CEu
633.8499677695395,990.6548869190301,-1.224215953959038,CEu
592.8602046252191,625.1038066099837,-0.1752448747359613,CEu
448.24852426561,612.3076089189146,-0.9102767884557137,CEu
487.6610822751167,603.5221597578823,-0.6521977654607732,CEu
619.8033824007175,613.4535370703537,0.03516619042699219,CEu
574.5096504179552,595.691650723049,-0.1208017443550858,CEu
605.0521343213366,678.7714417023776,-0.36902306654839057,CEu
535.5431830571266,629.6875192157398,-0.5079569276005532,CEu
601.6538820171482,712.7673101950685,-0.5297096563554807,CEu
628.0791394645825,787.4436280638445,-0.6877574403957135,CEu
778.7714114228389,824.4953049603727,-0.1884677968884477,CEu
596.0807556441002,640.000872578691,-0.23315738548873186,CEu
518.700744438881,628.159615013821,-0.5920214560370715,CEu
652.5254173703925,719.6428791037026,-0.31691445629374343,CEu
492.47768575827985,601.6122795054839,-0.6162812656092578,CEu
682.3799297782664,709.5205137659913,-0.12997841008656885,CEu
555.2822284068696,821.4394965565352,-1.101142156284998,CEu
549.0921393828388,699.9711125039995,-0.7324183530404647,CEu
721.6560533710451,814.5639276479012,-0.38761857744180617,CEu
582.0984725992402,602.7582076569229,-0.11644366967802826,CEu
908.1014851491412,947.8735692653067,-0.14261408356521713,CEu
752.3414142734043,763.570124908865,-0.04997249320222253,CEu
1015.0562598878106,1048.1538985899017,-0.10751351812984114,CEu
1083.1749458646568,1020.3590347831104,0.20960380182673113,CEu
1068.178415137323,1159.1416651011589,-0.2672088478261318,CEu
982.6309486442273,1252.5786313561523,-0.7351218303730965,CEu
923.879234143988,1192.3038129533995,-0.766592702414795,CEu
1130.7361775302477,1188.3274930422606,-0.16475026947782231,CEu
722.4402384604571,959.7148268301767,-0.8403260376689302,CEu
696.6909537526084,715.19059905613085,-0.08804113255251762,CEu
780.5822890566864,960.5248956748286,-0.6400172338854342,CEu
