pi,Wt,D,pop
86.54425567615495,103.89748573047086,-0.564009486178687,CEu
115.72668038066223,121.08640800205612,-0.14962567568833796,CEu
60.032877325972876,82.88880295408889,-0.9294307658634524,CEu
67.02345366148192,80.59694665121086,-0.567512303235156,CEu
77.44955516007087,90.14634791320266,-0.475091190355361,CEu
121.52142865000029,115.1657792196212,0.18649022503531199,CEu
94.82782470106675,111.34601871482447,-0.5011985911183477,CEu
92.18794221331413,121.21728690543411,-0.8122784497084959,CEu
109.22533583571699,130.73170424987435,-0.5572761527727264,CEu
148.96821413457027,134.68587433937122,0.3598982477546328,CEu
101.83718153794617,121.5806077980092,-0.5527754269097169,CEu
176.55644796925338,134.43099283926819,1.0653869360458015,CEu
77.59616840907347,115.83255026546937,-1.129787161407669,CEu
82.67145316602664,111.83267938783949,-0.8855391929759089,CEu
75.26411737502966,113.09634238625495,-1.1321574223400175,CEu
94.16777755702854,97.02191682183677,-0.0992872060484838,CEu
89.5019964678423,100.45970127615381,-0.3682400787870612,CEu
72.60168545316137,94.73006051895872,-0.788257601674693,CEu
65.8600858184492,82.50682690360921,-0.6800411975086248,CEu
90.35912684634762,76.77718614641412,0.5958415356932383,CEu
93.06962603587546,102.36958152855217,-0.30674256758538976,CEu
65.73112389043852,89.76437186272298,-0.9030756627216432,CEu
71.43334789946077,84.79868320648725,-0.5313656540636891,CEu
42.633450787313386,86.7085634588856,-1.7140320159488616,CEu
48.62846859740965,56.34146744575166,-0.45947642396098226,CEu
38.503968384924406,43.736257779922475,-0.40000959722602125,CEu
40.69606622497,54.813563243832974,-0.8641275848834467,CEu
49.017803561279685,64.93592858154429,-0.8242062760437597,CEu
68.11737235490304,61.3071561019874,0.37323573115487163,CEu
33.50345946492866,59.97023992530855,-1.4824532530771,CEu
40.51095971660206,76.96817417165397,-1.5954527954132385,CEu
72.3391970492269,58.44233572338986,0.7984793533549586,CEu
79.36954887655702,67.41877290966215,0.5962500539718423,CEu
47.66123449351425,50.611826688556576,-0.1953783953727791,CEu
31.230126242445305,38.38859307320706,-0.6220400629877896,CEu
60.647410484723494,44.30922185564199,1.2331757050070586,CEu
31.856350101019437,42.97230567896313,-0.8646652716693586,CEu
26.53387587255506,47.17404223423953,-1.4647575747904489,CEu
48.22649704006384,48.892934461398056,-0.045657150704902984,CEu
86.66164529109014,77.73212627261331,0.38697309220161363,CEu
52.173789526457014,60.54320400102806,-0.46440455433438604,CEu
67.03216531895768,63.79000043010527,0.17085268329394676,CEu
58.29809026320234,58.82431177386953,-0.030041543296933898,CEu
71.23570336907392,65.5088926572638,0.2939580397899264,CEu
84.25149834891985,72.9574256416174,0.5211470209541672,CEu
108.6709542491724,107.90823426050743,0.023874747674451646,CEu
104.48668181620411,104.85242585667004,-0.011779818305790852,CEu
114.50488398914652,109.64594549989462,0.14995165135075134,CEu
82.90197036175289,114.6298521135262,-0.9368618736524169,CEu
77.76421942654638,96.99449024990679,-0.6702732027093342,CEu
84.02999619976903,95.30302459467823,-0.39917296560130733,CEu
73.55488253903742,89.95535988796283,-0.6149684490922692,CEu
65.28388220309618,75.82224602021495,-0.46808450575045313,CEu
24.807800872616802,35.9057487450892,-1.029685597345189,CEu
80.29505011091551,55.195539294312645,1.5258444930055368,CEu
86.81562491250023,111.21205052593795,-0.7436418894511984,CEu
122.10825921285368,127.08961864760514,-0.13275479840414792,CEu
120.8854655179172,119.9404798506171,0.026631299719987372,CEu
64.92921968263961,81.3608987521702,-0.68062270276132,CEu
59.95401530656004,73.14841366685724,-0.6072611586119563,CEu
55.862446350898935,92.82018026656037,-1.343378521380286,CEu
101.17929535452221,92.24721619084086,0.32667274657188095,CEu
62.94182454077063,64.36296450582478,-0.07423101423357083,CEu
60.4394397780273,72.57544959113774,-0.5629138035408596,CEu
